log(chl);log(rrs443);log(rrs490);log(rrs510);log(rrs560);DOY
0.278753601;-2.351490598;-2.295845192;-2.302665672;-2.40464401;171
0.502468089;-2.531216083;-2.503421526;-2.509845078;-2.650897586;207
0.506261434;-2.531216083;-2.503421526;-2.509845078;-2.650897586;207
0.070132797;-2.564368376;-2.506268353;-2.491149897;-2.615465951;173
0.1646564;-2.065446255;-2.171368456;-2.213473305;-2.346481368;176
-0.246524188;-2.624122126;-2.647191391;-2.677742861;-2.857685947;214
-1.036854648;-2.267361094;-2.345668257;-2.472281703;-2.757023998;193
-1.06200094;-2.543191394;-2.468148133;-2.446479603;-2.523840614;192
-0.64238909;-2.441841484;-2.453565553;-2.502867083;-2.690235094;212
-0.180285012;-2.463554564;-2.485539646;-2.530688101;-2.730256194;215
-0.704410911;-2.299324573;-2.320313693;-2.379922584;-2.607918;213
-0.170812054;-2.651843173;-2.690251695;-2.758849645;-2.940592229;214
0.100715087;-2.740014286;-2.671279619;-2.637599906;-2.683097656;154
-0.319211388;-2.41198065;-2.471398085;-2.56482893;-2.796351211;181
-0.424685119;-2.415275939;-2.450190484;-2.505638748;-2.710646986;212
0.023828393;-2.251270296;-2.22114793;-2.26437771;-2.382527961;191
-0.301768925;-2.383356052;-2.394241606;-2.443089912;-2.647089443;213
